127.0.0.1 - - [22/Aug/2017:10:24:42 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:24:42 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:24:42 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:24:42 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:24:42 -0400] "GET /manager/text/list HTTP/1.1" 200 617
127.0.0.1 - - [22/Aug/2017:10:24:42 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:24:42 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:24:42 -0400] "GET /manager/text/list HTTP/1.1" 200 617
127.0.0.1 - - [22/Aug/2017:10:24:42 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:24:42 -0400] "GET /manager/text/ HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [22/Aug/2017:10:24:42 -0400] "GET /FactorizorJSPServlet HTTP/1.1" 404 1028
127.0.0.1 - netbeans [22/Aug/2017:10:24:42 -0400] "GET /manager/text/undeploy?path=/FactorizorJSPServlet HTTP/1.1" 200 78
127.0.0.1 - netbeans [22/Aug/2017:10:24:42 -0400] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2FN0200797%2FAppData%2FLocal%2FTemp%2Fcontext4769784550345083543.xml&path=/FactorizorJSPServlet HTTP/1.1" 200 76
127.0.0.1 - netbeans [22/Aug/2017:10:24:42 -0400] "GET /manager/text/start?path=/FactorizorJSPServlet HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [22/Aug/2017:10:24:43 -0400] "GET /FactorizorJSPServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Aug/2017:10:24:43 -0400] "GET /FactorizorJSPServlet/ HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [22/Aug/2017:10:24:47 -0400] "POST /FactorizorJSPServlet/FactorizorServlet HTTP/1.1" 200 836
127.0.0.1 - - [22/Aug/2017:10:25:45 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:25:45 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:25:45 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:25:45 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [22/Aug/2017:10:25:45 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:25:45 -0400] "GET /manager/text/list HTTP/1.1" 200 617
127.0.0.1 - netbeans [22/Aug/2017:10:25:45 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:25:45 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:25:45 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:25:45 -0400] "GET /manager/text/list HTTP/1.1" 200 617
127.0.0.1 - netbeans [22/Aug/2017:10:25:45 -0400] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2FN0200797%2FAppData%2FLocal%2FTemp%2Fcontext2273164114919160314.xml&path=/LuckySevens HTTP/1.1" 200 67
127.0.0.1 - netbeans [22/Aug/2017:10:25:46 -0400] "GET /manager/text/start?path=/LuckySevens HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [22/Aug/2017:10:25:46 -0400] "GET /LuckySevens HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Aug/2017:10:25:46 -0400] "GET /LuckySevens/ HTTP/1.1" 200 515
127.0.0.1 - - [22/Aug/2017:10:25:46 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:25:46 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:25:46 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:25:46 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:25:46 -0400] "GET /manager/text/list HTTP/1.1" 200 786
127.0.0.1 - netbeans [22/Aug/2017:10:25:46 -0400] "GET /manager/text/reload?path=/LuckySevens HTTP/1.1" 200 67
127.0.0.1 - - [22/Aug/2017:10:25:46 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:25:46 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:26:19 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:26:19 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:26:19 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:26:19 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:26:19 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
